id,species,pop,origin,contrast,root.depth,emg.height,est.height,ratio,flowering,tot.germ,avg
295,bh,13,s,13,17.5,7.8,21.4,,,1,13.5
296,bh,S2,s,S2,11.6,6.8,20.8,,49,1,13
297,vm,29,ad,3,17.1,6.5,14.9,0.7,34,0.857142857,15.5
298,bh,S2,s,S2,16.8,9.1,26,,44,1,13
299,vm,16,as,13,13.3,4.8,8.7,1,56,0.857142857,12.33333333
300,vm,2,ad,15,11.6,5.7,11.3,0.59,37,0.857142857,13.16666667
300,vm,2,as,18,11.6,5.7,11.3,0.59,37,0.857142857,13.16666667
301,bh,6,s,6,15.3,8.7,23,,70,1,13.5
302,vm,5,as,11,17.4,6,10.4,0.5,39,0.857142857,14.16666667
303,bh,11,s,11,12.8,7.8,21.7,,71,1,14
304,vm,3,s,3,15.8,5.8,10.5,0.39,57,1,13.28571429
305,vm,4,ad,13,13.7,4.2,10,0.5,40,0.857142857,15.5
306,bh,13,s,13,16.3,10,23.7,,,1,14
307,vm,S2,s,S2,15,3.3,12.2,0.59,58,0.285714286,14.5
308,bh,25,s,25,18,12.6,31,,42,1,13
309,bh,13,s,13,16.8,10.7,26.6,,,1,13
310,vm,15,s,15,13.2,4.5,11.5,0.54,53,1,15.85714286
311,vm,3,sp,11,15.3,4,8.4,0.7,48,0.571428571,15.5
312,vm,3,sp,11,19.1,5,8.4,0.57,48,0.857142857,13.66666667
313,vm,3,sp,11,14.8,5,11.6,0.69,70,1,13.57142857
314,vm,3,sp,11,20.6,4.3,9,0.45,42,1,13.85714286
